,imdb_tconst,primary_title,imdb_orig_title,start_year,runtime_minutes,genres,imdb_avg_rating,imdb_numvotes,db_genre_ids,db_id_x,original_language,db_orig_title,db_popularity,release_date_x,db_vote_avg,db_vote_count,production_budget,domestic_gross,worldwide_gross
9953,tt1959578,The Offering,The Offering,2011,110.0,Thriller,3.6,10.0,[],300613,en,The Offering,0.6,2014-11-03,3.7,3, , , 
9957,tt1961175,American Assassin,American Assassin,2017,112.0,"Action,Thriller",6.2,57793.0,"[28, 53]",415842,en,American Assassin,15.434000000000001,2017-09-15,6.3,1596,"$63,000,000","$36,249,674","$68,310,140"
9958,tt1961236,Dead on Appraisal,Dead on Appraisal,2014,82.0,"Comedy,Horror",4.5,96.0,"[35, 27, 878]",259544,en,Dead on Appraisal,1.6580000000000001,2014-03-01,4.0,5, , , 
9959,tt1961265,The Summer Side,Del lado del verano,2012,100.0,"Comedy,Drama",6.0,94.0,"[18, 35]",196263,es,Del lado del verano,0.6,2013-06-25,7.5,2, , , 
9960,tt1961279,Dose of Reality,Dose of Reality,2013,95.0,"Drama,Mystery,Thriller",4.7,335.0,"[18, 9648, 53]",157804,en,Dose of Reality,0.6,2013-02-28,5.4,5, , , 
9961,tt1961438,Nicky's Family,Nicky's Family,2011,96.0,"Documentary,History",8.0,462.0,"[99, 18]",100341,cs,Nickyho rodina,0.934,2013-07-19,7.7,3, , , 
9962,tt1961562,The House,The House,2011,109.0,"Drama,Mystery,Thriller",4.6,50.0,[35],345914,en,The House,9.62,2017-06-30,5.7,474,"$40,000,000","$25,584,504","$31,192,425"
9968,tt1961604,The Undefeated,The Undefeated,2011,118.0,"Biography,Documentary",2.2,1875.0,[99],80210,en,The Undefeated,0.88,2011-07-15,1.8,7, , , 
9969,tt1961680,"Young, High and Dead","Young, High and Dead",2013,89.0,"Horror,Thriller",3.3,104.0,"[27, 53]",231502,en,"Young, High and Dead",0.812,2013-10-31,3.8,4, , , 
9970,tt1964418,Tomorrowland,Tomorrowland,2015,130.0,"Action,Adventure,Family",6.4,161343.0,"[12, 10751, 9648, 878]",158852,en,Tomorrowland,20.136,2015-05-22,6.2,4610,"$170,000,000","$93,436,322","$206,627,518"
9972,tt1964589,Chamaco,Chamaco,2010,90.0,Drama,5.0,62.0,[18],63820,en,Chamaco,1.882,2010-08-06,4.3,4, , , 
9973,tt1964618,Greencard Warriors,Crosstown,2013,90.0,"Action,Drama,Romance",5.0,140.0,"[28, 18, 10749]",261874,en,Greencard Warriors,0.9079999999999999,2014-03-28,6.5,2, , , 
9974,tt1964624,In the House,Dans la maison,2012,105.0,"Drama,Mystery,Thriller",7.4,27285.0,"[35, 18, 9648, 53]",121875,fr,Dans la maison,7.875,2013-04-19,7.4,422, , , 
9975,tt1964634,Deer Crossing,Deer Crossing,2012,110.0,"Crime,Drama,Horror",3.2,372.0,"[27, 80, 18]",134885,en,Deer Crossing,1.645,2012-09-25,2.1,7, , , 
9976,tt1964773,Hide Your Smiling Faces,Hide Your Smiling Faces,2013,81.0,Drama,6.1,1531.0,[18],163710,en,Hide Your Smiling Faces,1.776,2014-03-25,6.7,23, , , 
9978,tt1964777,MoniKa,MoniKa,2012,88.0,"Action,Thriller",4.1,296.0,"[18, 10749]",121801,en,MoniKa,2.041,2012-12-14,3.4,6, , , 
9979,tt1965065,Save the Date,Save the Date,2012,97.0,"Comedy,Romance",5.8,6541.0,"[35, 10749]",84333,en,Save the Date,6.06,2012-12-14,5.9,67, , , 
9980,tt1965090,Silver Cell,Silver Cell,2011,72.0,Horror,4.2,30.0,[27],445756,en,Silver Cell,0.6,2011-05-18,2.5,2, , , 
9981,tt1965108,Spaceship Terror,Spaceship Terror,2011,94.0,"Horror,Sci-Fi,Thriller",3.9,124.0,[],143147,en,Spaceship Terror,0.6,2011-01-01,1.5,2, , , 
9982,tt1965118,Strike One,Strike One,2014,102.0,"Action,Crime,Drama",4.7,244.0,"[18, 28, 80]",298039,en,Strike One,0.9390000000000001,2014-10-23,4.8,3, , , 
9983,tt1965162,Boys of Abu Ghraib,Boys of Abu Ghraib,2014,102.0,"Drama,Thriller,War",5.4,1968.0,"[18, 10752, 53]",256969,en,Boys of Abu Ghraib,2.318,2014-03-28,5.4,32, , , 
9984,tt1965264,Sarah Palin: You Betcha!,Sarah Palin: You Betcha!,2011,91.0,Documentary,6.3,790.0,[99],74537,en,Sarah Palin: You Betcha!,0.7809999999999999,2011-09-30,5.9,6, , , 
9985,tt1966359,Father Figures,Father Figures,2017,113.0,"Adventure,Comedy,Drama",5.5,14373.0,[35],354861,en,Father Figures,12.45,2017-12-22,5.8,277,"$25,000,000","$17,501,244","$21,038,441"
